time_utc,activity,target_id,station_id,duration_sec,power_W,battery_SOC,data_MB
2026-02-16T09:15:02.799343+00:00,DOWNLINK,-,gs_wallops,440.0,8.0,0.917,-110.0
2026-02-16T09:29:26.793042+00:00,OBSERVE,target_london,-,230.0,5.0,0.984,50.0
2026-02-16T10:16:17.649994+00:00,OBSERVE,target_sydney,-,430.0,5.0,0.97,50.0
2026-02-16T10:56:42.799343+00:00,DOWNLINK,-,gs_wallops,380.0,8.0,0.958,-95.0
2026-02-16T11:55:37.649994+00:00,OBSERVE,target_sydney,-,460.0,5.0,0.968,50.0
2026-02-16T12:36:12.799343+00:00,DOWNLINK,-,gs_wallops,540.0,8.0,0.94,-135.0
2026-02-16T14:15:32.799343+00:00,DOWNLINK,-,gs_wallops,610.0,8.0,0.932,-152.5
2026-02-16T14:36:41.940153+00:00,OBSERVE,target_saopaulo,-,260.0,5.0,0.982,50.0
2026-02-16T15:28:08.508606+00:00,OBSERVE,target_tokyo,-,450.0,5.0,0.969,50.0
2026-02-16T15:57:32.799343+00:00,DOWNLINK,-,gs_wallops,240.0,8.0,0.973,-60.0
2026-02-16T16:14:11.940153+00:00,OBSERVE,target_saopaulo,-,470.0,5.0,0.967,50.0
2026-02-16T17:05:20.232128+00:00,OBSERVE,target_beijing,-,390.0,5.0,0.973,50.0
2026-02-16T17:11:51.232128+00:00,OBSERVE,target_tokyo,-,197.3,5.0,0.986,50.0
2026-02-16T17:50:44.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.919,-152.5
2026-02-16T18:44:00.232128+00:00,OBSERVE,target_beijing,-,480.0,5.0,0.967,50.0
2026-02-16T19:31:34.485010+00:00,DOWNLINK,-,gs_santiago,500.0,8.0,0.944,-125.0
2026-02-16T20:25:30.232128+00:00,OBSERVE,target_beijing,-,330.0,5.0,0.977,50.0
2026-02-16T21:48:59.373938+00:00,OBSERVE,target_cairo,-,300.0,5.0,0.979,50.0
2026-02-16T22:07:00.232128+00:00,OBSERVE,target_beijing,-,270.0,5.0,0.981,50.0
2026-02-16T22:11:58.508606+00:00,OBSERVE,target_tokyo,-,320.0,5.0,0.978,50.0
2026-02-16T23:26:49.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.944,50.0
2026-02-16T23:34:50.373938+00:00,OBSERVE,target_moscow,-,250.7,5.0,0.983,50.0
2026-02-16T23:46:20.232128+00:00,OBSERVE,target_beijing,-,430.0,5.0,0.953,50.0
2026-02-16T23:53:31.232128+00:00,OBSERVE,target_tokyo,-,317.3,5.0,0.978,50.0
2026-02-17T00:35:34.485010+00:00,DOWNLINK,-,gs_santiago,500.0,8.0,0.922,-125.0
2026-02-17T00:43:55.485010+00:00,OBSERVE,target_saopaulo,-,356.5,5.0,0.975,50.0
2026-02-17T01:08:46.793042+00:00,OBSERVE,target_london,-,110.0,5.0,0.968,50.0
2026-02-17T01:11:31.094414+00:00,OBSERVE,target_moscow,-,460.0,5.0,0.968,50.0
2026-02-17T02:14:34.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.9,-152.5
2026-02-17T02:24:45.485010+00:00,OBSERVE,target_saopaulo,-,156.5,5.0,0.989,50.0
2026-02-17T02:44:36.793042+00:00,OBSERVE,target_london,-,460.0,5.0,0.968,50.0
2026-02-17T02:52:17.793042+00:00,OBSERVE,target_moscow,-,383.3,5.0,0.973,50.0
2026-02-17T03:57:24.485010+00:00,DOWNLINK,-,gs_santiago,140.0,8.0,0.958,-35.0
2026-02-17T04:23:46.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-17T05:48:42.799343+00:00,DOWNLINK,-,gs_wallops,560.0,8.0,0.938,-140.0
2026-02-17T06:03:36.793042+00:00,OBSERVE,target_london,-,490.0,5.0,0.966,50.0
2026-02-17T06:11:47.793042+00:00,OBSERVE,target_moscow,-,203.3,5.0,0.986,50.0
2026-02-17T06:15:12.094414+00:00,OBSERVE,target_cairo,-,227.3,5.0,0.97,50.0
2026-02-17T07:27:52.799343+00:00,DOWNLINK,-,gs_wallops,600.0,8.0,0.903,-150.0
2026-02-17T07:43:16.793042+00:00,OBSERVE,target_london,-,470.0,5.0,0.967,50.0
2026-02-17T07:51:59.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.967,50.0
2026-02-17T09:09:42.799343+00:00,DOWNLINK,-,gs_wallops,440.0,8.0,0.918,-110.0
2026-02-17T09:24:06.793042+00:00,OBSERVE,target_london,-,230.0,5.0,0.984,50.0
2026-02-17T10:11:07.649994+00:00,OBSERVE,target_sydney,-,420.0,5.0,0.971,50.0
2026-02-17T10:51:22.799343+00:00,DOWNLINK,-,gs_wallops,380.0,8.0,0.958,-95.0
2026-02-17T11:50:27.649994+00:00,OBSERVE,target_sydney,-,450.0,5.0,0.969,50.0
2026-02-17T12:30:52.799343+00:00,DOWNLINK,-,gs_wallops,540.0,8.0,0.94,-135.0
2026-02-17T14:10:12.799343+00:00,DOWNLINK,-,gs_wallops,610.0,8.0,0.932,-152.5
2026-02-17T14:31:31.940153+00:00,OBSERVE,target_saopaulo,-,240.0,5.0,0.983,50.0
2026-02-17T15:22:58.508606+00:00,OBSERVE,target_tokyo,-,440.0,5.0,0.969,50.0
2026-02-17T15:52:02.799343+00:00,DOWNLINK,-,gs_wallops,260.0,8.0,0.971,-65.0
2026-02-17T16:08:51.940153+00:00,OBSERVE,target_saopaulo,-,470.0,5.0,0.967,50.0
2026-02-17T17:00:00.232128+00:00,OBSERVE,target_beijing,-,390.0,5.0,0.973,50.0
2026-02-17T17:06:31.232128+00:00,OBSERVE,target_tokyo,-,207.3,5.0,0.986,50.0
2026-02-17T17:45:24.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.918,-152.5
2026-02-17T18:38:40.232128+00:00,OBSERVE,target_beijing,-,480.0,5.0,0.967,50.0
2026-02-17T19:26:14.485010+00:00,DOWNLINK,-,gs_santiago,500.0,8.0,0.944,-125.0
2026-02-17T20:20:10.232128+00:00,OBSERVE,target_beijing,-,330.0,5.0,0.977,50.0
2026-02-17T21:43:49.373938+00:00,OBSERVE,target_cairo,-,290.0,5.0,0.98,50.0
2026-02-17T22:01:50.232128+00:00,OBSERVE,target_beijing,-,260.0,5.0,0.982,50.0
2026-02-17T22:06:38.508606+00:00,OBSERVE,target_tokyo,-,320.0,5.0,0.978,50.0
2026-02-17T23:21:29.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.944,50.0
2026-02-17T23:29:30.373938+00:00,OBSERVE,target_moscow,-,250.7,5.0,0.983,50.0
